polaridad,tweet
negativo,enfoqu perspect gener refier tom conscienci desiguald ley institucion impact distint hombr mujer conscient realid perspect gener tom part
negativo,continu sesion marc debat recib comision genet expon comentari observ despenalizacion
positivo,asambl proponent christi cruz esper cuent vot miembr comision juici pas plen
negativo,region rural probabil cas niñ niñ urban cambi situacion 
positivo,recorr call
positivo,andres ve buen tort zanahori 
positivo,hol dam follow escrib dm 
positivo,organiz mujer esmerald present respald dialog 
positivo,conjunt ministeri organiz seminari avanc desafi ejercici derech mujer democraci gener 
positivo,unet entreg realment valios moment inolvid perdur 
positivo,marc pronunci derech vid libr violenci embaraz forz pas luch muj ecuador sufr violenci 
positivo,espaci amig activ respons ampli envi fuert abraz
negativo,definit olvid validez palabr dictador genoc voc imagen puebl oprim 
positivo,suelt amar enorgullecert homofobi avergonz
positivo,canal comunicacion lgbti activ social ecuador latinoamer cumpl aniversari facebook graci apoy
positivo,ley proteg mujer bast impun 
positivo,participacion polit lgbti
positivo,alcald dispong inmediat retir public sexist vulner 
positivo,angle dubeau piet noch cuenc toc pour rein isabel nelson mandel vien quit compr entrad conciert viern
positivo,preparacon col maiz
positivo,violenci sexual embaraz infantil forz practic cultural nociv equival tortur comit ddhh recomend ecuatorian
positivo,cont fiscali especializ delincuent organiz transnacional internacional investig person criteri tecnicosjurid busc respons fiscal mundial
positivo,bienven ecuador import orig nacional 
positivo,vias buen clav desarroll conect crecimient obra signif produccion cre mil plaz region mil direct mil indirect moren
positivo,informacion acompañ educacion sexual respons padr lider comunitari gobi adolescent socied problemat solucion brind herramient alanc sueñ 
positivo,delici segur
positivo,campañ
positivo,polit public inclusion iguald acces educacion superior har reconoc mujer beneficiari program
negativo,lospais person divers aspect vid analiz cambi enterat event viv 
negativo,francisc hurt adjunt ddhh santiag roser revist diners hech suced posorj
negativo,señor unic sobr polit irrespons escrupul agit xenofobi arañ vot habl corrupcion mal gestion deud aument desiguald destroz public
positivo,control constitucional consult popular años emit provident admision decid atentxs dictam
negativo,nen wichi años embaraz acced abort legal riesg vid acces centr salud muri pas terapi intens 
negativo,profug correism herenci crisis econom sumergi crisis moral institucional
positivo,conclu proces capacitacion promov aplicacion enfoqu gener personal profesional
positivo,inici entrev director tecnic
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
negativo,muestr agu recog rios contamin canton caus mineri afect comun
positivo,victor giorgi asegur entrev trafic sexual product discriminacion ausenci oportun explotacion vid tom distint form reflexion
positivo,entrev director tutel dialog accion proteccion propondr derog resolucion decl zon riesg isla afect habit
positivo,necesit debat respetu respons habl abort lea articul complet via
negativo,mañan juici histori banc integracion nacional respons exist sancion cas avergenz asamb
negativo,asambl respald precandidatur president person ampli trayectori condicion an necesit
positivo,tem trat xiii conferent regional muj amer latin
positivo,represent lider reunion interinstitucional provinci autor dialog acerc fortalec mecan respuest prevencion violenci
positivo,busc just equit desarroll espaci armoni rest region asambl 
positivo,cre menor habit indic alej encuentr
positivo,event internacional erradicacion violenci muj organiz particip institu combat violenci 
positivo,celebr cumpleañ pdte sum cant alegri salud felic graci pdte defend patri venezuel espiritual
positivo,pap cuid beb 
positivo,plataform mujer camin iguald adher march articul vendr abaj violenci machism
positivo,descarg publicacion discriminacion mujer representacion medi comunicacion herramient indispens comunicacion democrat plural inclus 
positivo,mujer gerent zon provinci darl acompañ requier jenny mendoz gerent zonal banecu 
positivo,radi ilum present ming comunitari comun sinchi uku carabuel dialog dirigent
positivo,rued prens fiscal unic form reaccion autor respond celer pes ley
positivo,años despenalizacion homosexual ecuador invit particip cin for
negativo, sufr abus sexual cumpl años
positivo,cart coalicion nacional mujer ecuador president moren institucional derech human
positivo,inmigr ciudadani oblig respet ley costumbr cumpl hallow black friday cuaresm vot dejais especul viviend defraud haciend siest futbol beisbol macroxenofobi
positivo,ley preven erradic violenci gener mujer aprob inform comision especial excepcion art 
negativo,mencion futur polit deb empoder carg lleg encuentr formacion polit quit graci
positivo, espos president peru recorr urbanizacion san francisc huarcay sur quit
positivo,for masculin particip embajadores ecuador graci compromis iguald violenci gener
positivo,respons garantiz derech niñez adolescent respons famili socied civil cuid respet proteg expon event circunst vulner derech integr
positivo,salon llen inici confenrent machal iguald discriminacion mujeresgraci oro
positivo, siti cordon canton rocafuert ministr particip replic modul impart famili usuari servici atencion hog comun
positivo,present gacetadeanalisispoliticoelectoral democraci yderech poblacion
positivo,present proyect ley organ integral prevencion erradicacion violenci muj deb asegur felic madr herman hij compañer niet
positivo,pronunci marc internacional eliminacion violenci mujer revis
negativo,ven cas baby plan destruccion famili mund conoc pizz pizz hut pepsi litr 
positivo,certez quer univers dialog recuper ris mandatari perd moren
negativo,famili tradicional ecuatorian form padr madr hij orgull prejuici neces pomp moza infalt dobl moral
negativo,fotoreportaj quit inund mare verd recorr amer latin dominiqu riofri period 
positivo,azuay fiscali dinap logr captur juan andres sospech cas violacion acos sexual allan inmuebl cuenc incaut disposit electron evident minut fiscali formul carg deten
positivo,compart propuest posicion frent ley violenci
positivo,identific cas cobr indeb banc llam motiv descuent monetari cuent personal usuari document firm expres autorizacion rg
positivo,cnig medi violenci mujer problem salud public tem priv parej compet socied empres priv
positivo,descubr test nivel liderazg ciudadan inici mes convergent 
positivo,compromis garantiz educacion joven adult contrat docent pil fundamental campañ
positivo,acerc ped asil polit alvar comunic pais particul alert correspond sep profug justici burl control
positivo,march mujer divers amig entrañ camin junt porq junt fuert conquist derech fot
negativo,libert plen pres persegu exili polit venezolan
positivo,rued prens
positivo,persig
positivo,boletin años convencion derech niñ conmemor reflexion debat
positivo,empoder mujer deb reconoc garantiz derech histor neg ley jueg papel fundamental necesari med establec condicion iguald participacion
positivo,hol veo fav public hazn gastit arrepentir endulz mejor moment 
negativo,declar defensor puebl intervencion asambl ana galarz operacion policial quit retuv form voluntari ciudadan extranjer 
positivo,aceitun aceitun pas pas pan jamon des autent sabor venezolan realiz ped 
positivo,agradec amor compromis graci puertorriqueñ orgull venezolan
positivo, señal mir entrev ministr interior abord tem ejes segur intern
positivo,braz abiert man tend solidar venezolan lleg colombi ped autor man dur vien delinqu particip protest
positivo,cedul pasaport dni 
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
positivo,estim juli esper inconvenient solucion adecu qued atent noved salud
positivo,ecuador pais suscribi convencion radic compromis sostien asambl 
positivo,declaracion prens fiscali inform solicitud vinculacion expresident rafael corre delg instruccion fiscal presunt delit secuestr fern bald
positivo,vel inter superior niñ resguard derech orientacion sexual ident gener madr vulner principi 
positivo,polit public mecan diseñ desarroll progres derech ciudadan mejor condicion vid camin objet nacional especial orient disminucion inequ social
positivo,facebook liv inform semanal transparent socializ gubernamental
negativo,argument pen enorm desaparec
positivo,sabi servici consult line conoc servici atend ciudadani 
positivo,jos luis rodriguez zapater president españ resalt admiracion comun internacional president moren 
positivo,organic provinci exij justici emili falt
positivo,experient inolvid
positivo,katherin ward megeci espaci convoc unic mujer hombr luch erradicacion violenci niñ mujer asunt human
positivo,encantaaaaa hermos famili ampli hor entiend famili escrib garantiz iguald derech todoxs
positivo,estim carl favor ped comuniqu corre electron consum
positivo,coordin zonal particip convoc analiz avanc compromis adquir conjunt
positivo,pronunci institu integr cruz nacional violenci gener reafirm compromis invit ciudadani accion desarroll ecuatorian
positivo,hor proyect tuparin
negativo,competicion electoral vot ultraderech cas aliment monstru xenofobi discurs irrespons normaliz racism element val discurs polit conduc repet episodi oscur histori
positivo,hit present inform observ adolescent conflict ley
positivo, noviembr intl eliminacion violenci muj trabaj junt mund segur just hombr mujer acces derech oportun 
negativo,derech alegr triunf extrem derech conserv brasil irrupcion españ falt dig liberal flac favor ideologi gent
positivo,necesit
negativo,ret permanent compromis erradicacion form violenci mujer
positivo,entreg bienest produccion concurs ampliacion carril via sant domingobuen febabahoyojuj gener mil emple benefici millon ecuatorian cumpl promet
positivo,defensor puebl conduc proces efect justici camin avanc ret competent reparacion victim violacion
negativo,tenen cas emblemat sum centen cas identific fiscal provincial reaccion institucional ofrec result 
positivo,apoy iguald empoder mujer particip reunion mes cooperacion internacional gener
positivo,futur man falt pregunt rol jueg juventud propuest ciud buen entrev
positivo,agost inici person lgbti encontr apoy necesit
positivo, años vid radi ilum fm voz intecultural fortalec informacion comun dialog grup mujer pachamam comud angla present gastromi puebl cayamb
negativo,ret permanent compromis erradicacion form violenci mujer
positivo,graci quer amig
positivo,habl eduquemon preven abus sexual aprend escuch hij
positivo,tant razon madr padr famili expong hij tip event
positivo,minut empez seminari capacitacion organiz polit elaboracion plan encuentr territori represent ops
positivo,reuni funcion conform mes interinstitucional corrupcion exhort actu rapidez eficaci respond urgenci puebl ecuatorian justici moren
negativo,reportaj sinango afectacion caus mineri zon participacion cas invit observ
positivo,ley violenci proteg mujer divers discriminacion orientacion sexual ident gener condicion dispon constitucion
negativo,reformul carg pastor jonath cas juzg secuestr extors result muert motiv instruccion fiscal extiend
positivo,represent sistem nacion unid naranj unieron violenci mujer niñ
positivo,rued prens fiscali inform gestion realiz cas person desaparec 
positivo,jef moren exhort miembr continu apoy pais vias desarroll aplicacion
positivo,mil millon niñ mund desafi status quo redefin adolescent vient mare
negativo,boletin fiscali vincul expresident rafael proces secuestr fern bald 
positivo,otaval estudi bachillerat intens ue diez agost abc realiz jurament bander familiar padr hij docent vivenciar jurament bander
positivo, impact mujer sector microempresarial via
positivo,encend arbol navideñ interpret artist alus epoc culmin lanzamient 
positivo,reanud diligent busqued encontr ciudadan desaparec michell sector guapul fiscali apoy
positivo,ejecut proces certificacion competent contratacion public aplicacion protocol atencion segur evit inconvenient garantic proces transparent
positivo,daniel arzol mañan em guayaquil falt caus defend caus univers artes
positivo,cas julian campoverd enfrent gent actu mal opin vid atisb afect discut trabaj valor pase 
positivo,histori 
positivo,necesit instrument concret garantiz derech viv vid libr violenci vendr necesit aprueb ley
positivo,consej nacional iguald gener represent director tecnic present encuentr nacional derech ley implementacion organiz 
positivo, entusiam funcionari servici distrit particip jorn dej huell vid libr violenci niñ adolescent mujer 
positivo,mujer amazon visit defensor puebl solicit intermediacion falt respuest ejecut mandat mujer defensor selv present marz 
negativo,asambl destac economi modern funcion regulacion engorr sesion plen
positivo,participacion plen mujer person lgbti region andin
positivo,niñ niñ reflej grandez human noviembr conmemor años compromis ecuador asumi reconoc derech human niñez adolescent 
positivo,destin millon pequeñ emprendedor inici gobiern destin millon obras urgent moren
negativo,comision vot solicitud christi cruz superintendent banc incumpl funcion asamb pidi inclu juici tratamient fond previsional magisteri
positivo, director motiv usuari usuari credit desarroll human mies fortalec emprend
negativo,represent lider reunion interinstitucional provinci autor dialog acerc fortalec mecan respuest prevencion violenci
negativo,remuner hog logic servidumbr feudal machist discriminatori reconoc neces mujer necesit polit public garantic derech trh
positivo,president cnii ministr debat creacion comision especial ocasional atend tem norm niñez
positivo,felicit
negativo,asambl coordin banc integracion nacional termin alianz part movimient
positivo,agradezc president moren facil logist buen anim coordinacion recib cariñ delegacion peruan president peru 
positivo,agend nacional iguald intergeneracional herramient socied civil exigibil derech
positivo,invit invit conversatori derech human gener
positivo,hombr mujer unen activ proyect quit
negativo,años dolor herman manabi esmerald perd human material testig grand movilizacion solidar junt
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
negativo,ciud locacion noviembr ph 
positivo,dirigent comun gualapur libert azam pigulc uyanch patalang esper reun
negativo,seman difundi miembr deten interven evit asalt man armad bus cab libert asalt orden justici agradec testimoni 
positivo,busc agronom provinci demanabi
positivo,ecuador padr madr apoy hij trans solicit cambi nombr sex document ident acto cont apoy familiar activ
positivo,celd sac tant escritor mur man tant hombr neci
positivo,apoy fundamental socied civil impuls espaci encuentr dialog construccion agend propuest hoj rut graci quer amig 
positivo,ped dra ruth palaci fiscal juez nacional silvi sanchez inici audienci formulacion carg presunt pecul fern exsecretari nacional comunicacion
positivo,fiscali inform fiscali institu propon accion erradic violenci gener conoc notici cas relev nivel nacional 
positivo,cuid integral niñ niñ etap vid pilar fundamental program emblemat 
negativo,venezolan saldr duelal duel caen ciel trabaj luch libert val
positivo,animal enseñ equip sobreviv junt dign imit
positivo,ecuador lanz polit intersectorial prevencion embaraz niñ adolescent
positivo,noviembr conmemor violenci mujer dec
positivo,busc garantiz mejor condicion vid famili extrem pobrez garantiz derech motiv emprend 
positivo,moment reflexion informacion plataform nacional mujer camin iguald años organizacion
positivo, tecnic distrit nort guayaquil realiz visit constat situacion person discapac vulner consider acces bon joaquin galleg lar 
positivo, minut secretari tecnic habl ley organ integral preven erradic violenci mujer
negativo,incumpl funcion conclu inform borrador christi cruzelabor pid prorrog votacion comision acostumbr esper organ cpccst resuelv
negativo,aprend pakist 
positivo,reflexion colect tom legaliz abort cas violacion signif actualiz ley atend problem real cotidian mujer embaraz des abort peligr
positivo,comunic oficial desestimacion accion proteccion solicit fundador wikileaks juli assang
positivo,termin movilizacion noviembr cas abiert compromis ciudadan funcionari 
positivo,vuelv reinstal audienci presenci defensor puebl escuch dictam ped med cautelar propuest exigent ecuatorian ped pasaport person venezolan
positivo,audienci public convoc institu control señal accion frent recl cobr autoriz realiz pregunt exposicion coordin jurid junt regulacion monetari financ
negativo,estim susan esper inconvenient solucion cas contrari comunic corre asesor 
positivo,palaci gobiern ilumin naranj conmemoracion internacional eliminacion violenci muj
positivo,reiter opinion public firm adhesion ecuatorian pertinent norm derech nacional internacional rig
positivo,laic prejuici vid muj admit dogm 
positivo, invit segu mañan entrev ministr interior
negativo, ministr justici comparec asamble nacional acces irregul visit crs atencion prioritari quit
positivo,recurs muestr real president busc herramient ecuador alcanc progres just manabi continu pie luch segu product alta dign merit ministr
positivo,graci entidad for 
positivo,cierr ponenci carrer derech entreg reconoc fiscal participacion seminari nacional derech penal aport socied vid profesional docent
positivo, subsecretari rehabilitacion social recorri constat proces tratamient ppl notici
negativo,desgraci estim francisc viol años niñ menor años par socied espald discrimin destru
positivo,boletin funcionari fiscali capacit protocol entrev forens escuch especializ 
negativo,estim fernand favor solicit ampli cas asesor adecu salud
positivo,luch mujer incorpor espaci llev cab sigl constitu esplend nobl valios impact revolu viv human
positivo,mart vieir silv jueg futbol chic ong chic situacion vulner social vill buen air
positivo,colombian bolivarian via
positivo, deb respons difund informacion person desaparec puest compart informacion fals correspondient pais
negativo,ciud locacion teatrovariedad noviembr ph 
positivo,oper puert maritim simon boliv decomis kg cocain iba trasport belgic conten encontr envuelt paquet logotip aa toyot ocult caj banan
negativo,titul ciudadan extranjer deten represent migrant chil notici carg sesg ideolog entiend migrant amenaz cre xenofobi apunt person reclu cost
negativo,inclu violenci sexual gener embaraz des indigen mestiz ped apoy debat plenari
positivo,boletin tonel drog destru
positivo, particip reunion especial autor divers entidad convoc sed ecuador abord prioridad termin iguald gener informacion estrateg temat
positivo,instam gobiern argentin revert polit preserv sistem cientif tecnolog lid amer latin preven exod inminent cientif cart cientif macri premi nobel
positivo,program escuel conscient impact ambiental signif construccion infraestructur educ tendenci pedagog enfoc colabor
positivo,integr analiz coordin estrategi accion preven
positivo,defensor puebl freddy alvarez rector univers nacional educacion firm conveni cooperacion interinstitucional objet promov conjunt ejecucion proyect cooperacion materi
negativo,hij niñ menor catorc años par ecuador victim violacion años gest infeccion vias urinari anemi 
positivo,cronic carmel recib atencion domiciliari idiom nativ tsafiqui 
positivo,catol expert derech derech sustant muj interrump embaraz result violacion forz abort oblig segu embaraz
positivo,venezolan advert mil maner ahora par presion infelic vend caig
negativo,aprend costumbr cas cruz despeñaperr racism xenofobi rob man llen regal millon eur banc kms embaraz perdi vid naufragi maldit impresent
positivo,quit karl represent ocup puest cecili manz coordinacion observ
negativo,marc vi congres latinoamerican caribeñ person trafic migrant inici noviembr abord dimension territorial explotacion sexual comercial niñ niñ adolescent
negativo,retroces derech integral respet derech sexual derech reproduct
positivo,cuent eu mexic trolls bots sembr racism twitt recient exod migrant for digital present respuest multitudinari torn tem
negativo,acorral period janet hinostroz president comision investig cas gabel asamble ces litard jos serran list error tipe
positivo,honr padr madr prolong tierr jehov dios exod 
positivo,trat mineri petrole electr turism cultur ambient segur buen armoni convers acuerd trat conviert agend benefici puebl moren 
positivo,inscripcion abiert campeonat futbol indigen masculin femenin
negativo, entreg oficial corbet misiler rios manabi loj adquir dec ochent cumpl vid util somet proces reconstruccion modernizacion
negativo,piens gay millennials averigual viv facebook 
negativo,imag websit permit
positivo, constitucion ecuador instrument internacional derech human prohib discriminacion orientacion sexual pronunci cas
negativo,fiscali inform militar proces trafic drog oper bas aere mant conoc cas nivel nacional 
positivo,ecuador gan 
positivo,dialog abiert ciudadani construccion derech human mujer
negativo,ces zea coordin zonal actu debi frent cas acto silenci institucional
positivo,venezolan ecuador dese feliz navid feliz salud equip venezolan ecuador org
positivo,candidat sar warmi visit radi ilum
positivo,adult mayor march vid libr violenci niñ mujer canton vicent torrez unid atencion vid salud gad municipal 
negativo, años corrupcion lacer paisasambl manisfest decision tom
positivo,practic discriminatori bas orientacion sexual ident gener aument vulner violenci amor crim
positivo, informacion ministr particip sexagesim period sesion comision condicion jurid social muj via
positivo, invitacion pued perd event import presentacion agend nacional iguald mujer person lgbti 
positivo,teori venezolan objet modal convencional puebl res pers
positivo,autor vecin republ unen aspiracion cont via dign mejor vincul unid puebl herman pid constru
positivo,cnii particip jorn prevencion embaraz niñ adolescent ponenci experient participacion niñ niñ adolescent formulacion observ polit public prevencion embaraz
positivo,fiscal solicit pront actuacion revision analisis aprobacion proyect benefici segur tranquil ciudadani
positivo,ministr finaliz intervencion coment escuch victim violenci ambit logr fortalec derech 
negativo,ciud locacion teatrovariedad noviembr ph 
positivo,just niñ
positivo,represent lider reunion interinstitucional provinci autor dialog acerc fortalec mecan respuest prevencion violenci
positivo,agricultor ganader aport lech pur aliment vital niñ aument entreg seman alimentacion escol promov campañ bondad consum
negativo,espos golpe coloc denunci tip dij tom denunci mañan vuelv senti impotent creanm llor respuest pas femicidi
positivo,haz sueñ realid vuelvel degust quer ped distanci jej
negativo,present numer generaliz justific despenalizacion reflej realid exact iron asegur cost atencion eni embaraz intencion menor plan prevencion
positivo,defensor puebl realiz entreg formal resolucion respuest mandat represent nacional indigen reivindicacion tutel naturalez
positivo,informal empres confirm conductor plac vehicul lleg sal rut preci permit calific reclam servici transport formal
negativo,pas gent dobl moral encant opin sobretod decid vid rest ven rab paj arman march obras teatr ej sant prepuci sal 
positivo,cpccs integr mejor hombr mujer garantiz miembr represent region exist parid negr kichw mulat blanc conform 
negativo,venezolan saldr duelal duel caen ciel trabaj luch libert val
positivo,atend denunci propuest octubr sancion establec usaron nna acto proselit religi
negativo,cancill visit juli assang registr embaj derech recib visit hag norm ley directric gobiern ecuatorian
positivo,prevalec derech niñ niñ aport hech recog inform debat
positivo,gener condicion adecu educacion calid educacion public gratuit calid infraestructur dign adecu recurs fisic material
positivo,compart fras nelson mandel invit reflexion discriminacion
positivo,acompañ director tecnic trat vulneracion derech niñ niñ adolescent
negativo,polem crim horrend algui abus sexual menor cur violador iglesi proteg abus victim reclam
positivo, conmemor años creacion president moren ratif apoy gobiern nacional continu tar favor ciudadani
positivo,hech violenci sexual march
positivo, ministr agradec presenci alcald evident compromis actor cumplimient polit public garantiz desarroll niñosniñ adolescent
positivo,inici jorn participacion fiscal colombi reunion integr deleg director fiscali ecuador
positivo,ayudan encontr genovev jesus corder vist febrer sector dor ciud cariamang canton calv loj 
positivo,reunion planificacion activ niñ niñ adolescent consej consult cantonal niñ niñ adolescent
negativo,manej sistem inteligent vici error falt profesionalism regim hac carg oscur moment necesit respons corrupcion gobern
positivo,colombi helicopter estadounidens aterriz colombi traslad venezolan enferm buqu hospital
negativo,tapuj yoani sanchez venezuel cub caid alto
positivo,vide implement program educ joven constructor adolescent infractor unidad zonal desarroll integral uzdi imbabur sucumbi esmerald manabi oro
positivo,inici event firm plan implementacion program ministeri program nacion unid desarroll ecuador miral viv
positivo,graci luch años despenaliz homosexual ecuador homenaj segu constru socied divers plen derech tod 
positivo,reembols trab iva impuest sal divis apoy competit liquidez tranquil moren
positivo, president comit plan visit xvi festival artesani amer cidap marc conmemoracion
positivo,mañan coe metropolitan reconoci calid desarroll levant informacion poblacion situacion permiti gener hoj rut intervencion interinstitucional articul
positivo,estim carlit aprend escrib pong tuit deb escrib manej marketing client
positivo,urgent sistem justici hag present ley organ prevencion violenci muj sistem oper garantiz derech vid libr violenci
positivo,amig pod dec sient honr feliz amist cariñ enorm transparent amist
positivo,ten cuid red social algui conoc ofrec trabajopodri victim
negativo,boletin lun fisc revel import audi conversacion actual president jos serran excontralor carl polit informacion 
negativo,lapidari reform comision result guerr adelant cautelar otorg solicitud improcedent
negativo, mujer sufr violenci psicolog inec
negativo,deliberacion tribunal garanti penal acog acusacion fiscali sentenci años mes pen privat libert mari dieg autor captacion ilegal diner impon mult reparacion integral
positivo,adolescent conflict ley requier proteccion especial integral rehabilitacion penitenciari inclu centr atencion integral carcel necesit
positivo,result present latinobarometr ubic ecuador distribucion riquez disminu nivel confrontacion socied
positivo,hor sum man alto violenci viv niñ adolescent ecuador sum caus necesit voluntari
positivo,compromet entusiasm campañ cuid empoder mujer niñ 
positivo,vay funeral stan lee quedens entierr
negativo,antoni portug amig famili años venezuel dej cas negoci cerr sali famili enter par llor iba camin aeropuert abast cason referent maiqueti
negativo,viv bibian aid presentacion felicit consej constru agend preocup personal presupuest presenci territori lleg part 
negativo, levant fich vulner beb lactant madr usuari gestant sector bris sal 
positivo,cronic carmel recib atencion domiciliari idiom nativ tsafiqui 
negativo,basic bro jaj machist gil
positivo,viv ministr ernest pazmiñ compromet intencional materi derech mujer constru compañer present organiz puert abiert
positivo,deleg reuni autor provinci objet coordin proced adecu efectu vigil proces celer personal are atencion usuari judicatur
positivo, exit desarroll festival artist cultural inclusion arte sabiduri danz teatr cant declamacion alegri mil adult mayor atend mies centr sur guayaquil 
negativo,arrepient cant edith piaf
positivo,invit segu canal oficial telegram buscan inclusion ecuador 
positivo,necesit diner consegu retractat dig sofi espin dian falcon cronic asamble
negativo,acab comunic orden hag clic 
positivo,autor inform graci respuest policial deten sospech delit comet guayaquil ibarr ambat
negativo,boletin comercializ part motociclet rob 
negativo,estim agradec respuest ciudadan adquisicion recib corre solicit favor verific informacion evit molesti salud
positivo,fiscali coordinacion apoy realiz acto urgent determin supuest existent sustanci sujet fiscalizacion bus accident via papallact agost
positivo,finaliz event ciudadan constitucion posesion consej defensor defensor derech human naturalez sal dolor cacuang edifici matriz capital
positivo,full recomend pastelit divers caus felicit gaby 
positivo,program manej impec lleg oportun escuel sistem trazabil espectacul juan pabl grijalv represent sector ganader pichinch
positivo,cnig medi creacion consej iguald gener cambi marc conceptual sujet pas mir mujer divers poblacion divers gays lesbian trans bisexual
positivo,asisti presentacion agend nacional iguald intergeneracional realiz auditori univers tecnic viern noviembr
negativo,venezolan facil facil person humillanpor favor necesit recuerd cua
positivo,colise luis leor franc ibarr inaugur xiii edicion jueg nacional menor sed provinci imbabur subsed guay carchi azuay
positivo,mujer complic situacion polit econom social laboral madr espos 
positivo,joven rol preponder gener democraci garantic derech divers
negativo,ayud cuid cas lxs hijxs correspond mujer
negativo,import palabr dig une adolescent convenc sos adult fijat pod cag vid une pib fras cer experient alumn entiend empez escuch empati
positivo,fuerz vali pais mund luch realidad conquist compart the forc and valu of great from various countri of the world the struggl realiti and conquests organiz by
positivo,lee mensaj director ejecut ocasion internacional eliminacion violenci muj noviembr
positivo, import resalt fech logr concienci rol mujer nelly sandoy usuari centr gerontolog event dej huell 
positivo,mejor cumbi dely flor
positivo,comunic inclusion form ciudadani igual
positivo,program habl prevencion erradicacion violenci muj escuchen viv señal
positivo,ministr creacion secretari tecnic ddhh oportun gener gobern precis implementacion ley prevencion erradicacion violenci mujer
positivo,solidari compañer apoy coloni chin entreg sill rued personal discapac event presid magdalen perez villeg pdta fundacion cmdt invit
positivo,entrev paulin murill adjunt consumidor usuari dialog diari actuacion frent recl ciudadan pag autoriz institu financ financ
positivo,conclu audienci recog testimoni anticip raul ch dian proces presunt delit asociacion ilicit secuestr fern bald
positivo,busqu hospital usns comfort inici atencion medic venezolan guajir colombian vide
positivo,septiembr conmemor fiscali renuev compromis vel respet derech human construccion socied paz
positivo,promuev polit inclusion person discapac resalt aport ciudadan 
positivo,ocurri minut olga tañon defiend venezolan conciert quit ecuador años carrer hic venezuel
positivo,necesit mejor atencion marc normat person adult mayor plant polit prioriz const intergeneracional
positivo,pregunt aprend seren vendri
positivo,culmin conversatori ministr tecnic profundiz tecnic polit ejerc territori 
negativo,algui tergivers postur oponent ideolog mied comprend argument opositor sent niñ list madr debat informacion
negativo,aclar proces investigacion estableci agent dependi ministeri interior senain caden mand direct agent expresident afirm fiscal
negativo, años kkas falt educacion regal culp peron macri haberlls cag pal bast piquet bast subaidi bast trabaj venez
positivo,sient feliz dialog ando aport posit tem 
positivo,fiscali particip ii vigili sobrevivient brind informacion delit bulev nacion unid
negativo,tuitaz mundial imeld expon conden años carcel delit cometi mil voc exig libert
positivo,viv comun tocagon urku wasi
positivo,capacitacion fich tecnolog recib educ cdi sagr corazon jesus guasm central guayaquil 
negativo,extrañ pont corr tel roj clav estoqu espald cach
negativo,juez garanti penal guay fabiol veg acogi ped fiscali dict prision prevent geovanni ro antoni rv tentat homicidi cas agresion guardi segur guayaquil
positivo,feri derech human 
positivo,coordin zonal particip convoc analiz avanc compromis adquir conjunt
negativo,mexic comet verdader irrepar error eleg obrador madur tra mil doctor cub mexic segu manten canc polit dictador comun venezolan advirt mil
