polaridad;tweet
negativo;@PublicaFM @CNT_EC @RonnyToapantaAl Chucha el 25% de las utilidades!!! Ósea les hacen planificación tributaria y no habría utilidades y nos dejan cagando! Hijos de puta debería ser el al menos el 60% de los ingresos a Ecuador! Si no está a gusto que lo deje! Mamá verga de @Lenin y compañía hay que ya sacarlos!
negativo;@ClaroEcua Caballeros no he recibido ninguna llamada para que me brinde una solución !!! ... la noche de ayer el problema es recurrente se pierde línea telefónica y el Internet la señal es intermitente.
negativo;@MovistarEC  porque cambian mi plan sin autorización!!!
positivo;@CNT_TeAyuda @CNT_EC Les acabo de enviar un DM
negativo;@MovistarEC estimados tengo un #problema con una solicitud que genere meses atrás y no tengo solución. Pedí que me cambien de Post Pago a Prepago y me dan vueltas y vueltas y no me ayudan.
positivo;RT @Aucas45: ¡Jugar junto a @Juanmatvz como el #Jugador12 puede ser tu mejor experiencia como hincha! Solo debes subir a tu Twitter una fot…
negativo;@MovistarEC francamente las llamadas de su call center pueden sacar de quicio a cualquiera, porque primero no les enseñan a modular el tono de voz y a hablar? Q fastidio NO ME LLAMEEEEEN.
negativo;"@CNT_EC @CNT_EC Buenas tardes. Quiero reportar un daño en mi línea telefónica, desde ayer me encuentro sin tono, llame y reporte el caso pero no tengo ninguna repuesta. 
Gracias."
positivo;@ClaroEcua Para renovación de equipo, ya que poseo plan. Gracias
negativo;@MayBayas @ClaroEcua Esto no es de votos ni al más popular ,igual que los comentaristas...esto se trata de capacidad y saber de fútbol, de lo cual estas muyyyyyyy.....pero muuuuuuuyyyyyy....lejos ...
negativo;@FernandoEhlers1 @dorissoliz @Lenin @PROGRAMALATV @CNT_EC No debe mentir bajo ninguna circunstancia. La ciudadanía será la perjudicada. Ejemplo negativo de la retórica que diefiere en la ejecución. ¡Basta de mentir!
negativo;@samyariza @callimanta @GabrielaEsPais @MashiRafael @BancadaRC_ Y sabes cuanto produce anual  @CNT_EC  por ejemplo, o solo te basas en lo que la prensa mercantil e interesada publica?
negativo;@GAMERFC11 @CNT_EC Por lo menos a ti ya te fueron arreglar yo desde el viernes 11 y hasta el día de hoy me vienen arreglar y nada que tengo internet
negativo;"Ya empezó la privatización disfrazada de concesión de #CNT, ya mismo hacen lo mismo con las hidroeléctricas (que extrañamente dicen que no sirven pero que ya hay varios interesados en negociar)... que feo ha sido volver al pasado! 

PD: #FuerzaEcuador =nido de ratas bucaramistas!"
positivo;RT @ClaroEcua: #HoyEnElDeporte en 1989: Holguer Quiñónez se convierte en el primer ecuatoriano en quedar campeón en el fútbol brasileño. ht…
negativo;@CNT_EC necesito ayuda con el establecimiento de mi servicio..
negativo;@ClaroEcua @jennyrebk Ustedes son otros afrentosos y peor q el dinero d las ganancias se lo llevan al extranjero ' Mexico ' .. mejor con CNT q es producto nacional
negativo;Pesimo servicio Claro C.C San luis 40 minutos de espera a que pase 1 turno @ClaroEcua https://t.co/L35GetbFAK
positivo;@maranitasilva @CNT_EC @claro @Movistar @CNT_TeAyuda @CNTinforma @marcelaguinaga @juanseroldan @RTSEcuador @AsambleaEcuador Más que número son hechos y lo confirmó, yo comí cliente no me cambio #CNTorgulloParaEc
negativo;@fredy_guamani @MovistarEC @ClaroEcua Y después son los primeros que fastidian con sus hostigosas  llamadas ofreciendo servicios @ClaroEcua @MovistarEC
positivo;RT @LautaroAyalaQ: @D_RomeroM_ @Telecom_Ec @emco_ep @GuilleHLeon @FRendon11 El mejoramiento de la atención al usuario en CNT,  está refleja…
negativo;RT @sandratoapanta: @SCC1705 @franzpc @PublicaFM @CNT_EC @RonnyToapantaAl @Lenin Aquí quien  desconoce es USTED le explico o prefiere dibuj…
negativo;@BancoPichincha @MovistarEC Que tipo de controles ponen ustedes? En la cuenta que me debitaron, ni yo mismo puedo hacer transferencias ni movimientos en línea!!!
positivo;El trabajo coordinado del MINTEL y las operadoras @CNTinforma, @MovistarEC @ClaroEcua, transparentan la información de manera clara y precisa, sobre el origen de una llamada  proveniente del Call Center, para que el usuario decida si contesta la llamada. #MintelCambiaVidas https://t.co/DTvnIG9sd2
negativo;el MENTIROSO DE MORENO OFRECIENDO OTRA MENTIRA DICE QUE NO QUEDARA EN LA INPUNIDAD LE PREGUNTO NO ESTA EN LA INPUNIDAD EL ASESINATO DE LOS PERIODISTA Y DE LA PAREJA DE SANTO DOMINGO ERES UN CINICO MENTIROSO EL PUEBLO NO TE CREE SOLO LA OLIRGARQUIA RATERA TE ACOLITA https://t.co/E6TR4cd1Au
negativo;@ClaroEcua hay algún problema con la red? No puedo hacer llamadas.
positivo;@ClaroEcua Bueno no me cancele el internet en tal caso . Solo telefonía fija
negativo;"@PublicaFM @CNT_EC @RonnyToapantaAl ¡Se quieren llevar en peso al país!
#NoALasPrivatizaciones 
#NoalaprivatizaciondeCNT
@ricuesta ayude a su hermano a que no tenga que huir dentro de unas semanas..."
negativo;@ecuainm @CNT_EC @InformacionDura @MashiRafael @Lenin @FinanzasEc @AsambleaEcuador @RichardM_A @jaimenebotsaadi Una empresa con exedentes de 100 millones al año. No es privatización es ROBO.
negativo;Señores @MovistarEC atender la zona de Tonsupa ya con la tecnología LTE uno viene a disfrutar del feriado y se encuentra con la novedad que solo navega en 3g que falta de cobertura!!
negativo;Ojalá @ClaroEcua se vuelva ineficiente también para cobrar las facturas, así como lo es el.servicio que brindan. https://t.co/EjJwTUY8xf
negativo;". @Martinminguchi porqué en su articulo no menciona a Telefonica y CNT, que son mas grandes que Telconet y tiene cables submarinos? 
Ellos les favorece mucho mas que el precio del internet no baje..."
negativo;@CNT_TeAyuda @CNT_EC Mi mamá  sólo consumió un mes de triple pack y le están cobrando como 6 meses sin haber consumido ya q estaba cortado el plan me pueden ayudar a relajarme la cantidad  q debo pagar
negativo;@Telefonica @MovistarEC Su punto de servicio en Quito, Av De La Prensa y Flavio Alfaro no sirve. No pueden solucionar problemas y me dirigen hacia El Condado. Incompetentes
negativo;@_ELREVERSO @CNT_EC @MashiRafael @JorgeGlas @pameaguirre1 Q venda a su puta madre q lo parió, buen negocio pata quién para el. Apellido Caputi mafioso italiano.
negativo;De Ripley @MovistarEC me quedé sin servicio y cuando llamo a preguntar que pasó me dicen que el martes me acerqué personalmente a cancelar mi línea. Le comencé a decir al operador que nunca fui y me insistía e insistía que en su pantalla le dice que si fui. @marcasaldesnudo
negativo;RT @harry69833: @BaironValleP @erque76 @SCC1705 @CNT_EC @LuisCubillosGye @RicardoPatinoEC @MonicaBritoRC @AsambleaEcuador @EcuadorRC @Labor…
positivo;@MovistarEC @RichardCarapazM @Telefonica @Movistar_Team Que linda noticia, muchas felicidades para la Marca, por qué tiene un atleta impresionante 😊
negativo;@MovistarEC Pues se están demorando demasiado porque la falta e intermitencia de señal en la @AutopistaGR tiene años, así que el día a día no tiene resultados en gestión y acción.
negativo;Si @MovistarEC es lento dentro de Guayaquil, imagínense fuera 🤦🏻‍♂️
negativo;RT @carlosusategui: Verdaderamente que no soporto más el servicio que tienen!!! @ClaroEcua
positivo;@CNT_EC Las redes sociales por cuantos meses son
negativo;"@tefanoquez @CNT_EC @MashiRafael @JorgeGlas @Lenin @ecuainm @el_telegrafo @CarlosVerareal @GabrielaEsPais @ComunicacionEc @CNTinforma @CNT_TeAyuda @marcelaguinaga @RicardoPatinoEC @SofiaEspinRC @ppsesa @ClaroEcua @MovistarEC No podemos permitir esto.. Todo lo que hacen es ilegal 
#CNTnoSeVende"
positivo;@CNT_EC Yo tengo plan con uds me. Puedo cambiar a este
negativo;@CNT_EC Buenos días, existe alguna actualización en el sistema de internet móvil, o están sufriendo alguna falla técnica, no dispongo del servicio desde el día 24.12.2018
negativo;@Zocosama @CNT_EC Profe el único culpable es ud x contratar  cnt...A esa porquería no se le puede llamar servicio
negativo;@ecuaraw @CNT_EC @Lenin @BenjaminChavezR @VillaFernando_ es que la diferencia se la llevan ellos, jajajjaaa
negativo;"@FernandoEhlers1 @Lenin @PROGRAMALATV @CNT_EC Yo nunca he confiado en los que halagan  mucho, aquí en Alemania se los llama ""Schleimer"" . Este señor es un profesional en el engaño y seguramente fue un infiltrado desde el inicio. Pero tenemos la oportunidad de sacarlo en las próximas elecciones todo 5!!"
negativo;Me tienen HARTA los de @ClaroEcua !!!! Dejen de llamar!!! No quiero, ni voy a cambiar de operadora!!! Entiendan!!! 😠😡
negativo;@ecuainm @MashiRafael @InformacionDura @CNT_EC @SCC1705 Todo esta fríamente calculado desprestigiar las empresas públicas quebrarlas para venderlas a precio de gallina con peste, este libreto el pueblo ecuatoriano ya lo conoce el traidor pagará por destruir la patria.
negativo;RT @radiosonorama: #VictorHugoVilllacres:  no se conoce cuales serán las condiciones para la concesión de  @CNT_EC  , que valoración se hiz…
positivo;RT @PactoGlobalEcua: Felicitamos a nuestro miembro @CNT_EC quien presentó su 5ta Memoria de Sostenibilidad. La empresa somete voluntariamen…
positivo;@cardenisab Claro pues! El de @CNT_EC
positivo;@TuentiEC son geniales panas!
positivo;"RT @ClaroEcua: ¡Conoce la Nariz del Diablo en estas vacaciones!
Etiqueta a esa persona especial para que puedas visitar este sitio turístic…"
positivo;@D_RomeroM_ @goberimbabura @Telecom_Ec @ComunicacionEc @GuilleHLeon @FRendon11 @UniYachayTech @CiudadYachay @emco_ep Felicitaciones ING Romero cnt siempre adelante .carbensemix presente
negativo;@MovistarEC Gratis????? Eso es una mentira. Al final te terminan cobrando
positivo;@ClaroEcua Pero cuantame o deme la información de ese combo para tener conocimiento
negativo;RT @ariellc201: @carlosusategui @ClaroEcua Si es terrible claro igual que cnt
positivo;RT @Edwin20milla: Para las personas que están pidiendo información de @CNT_EC por el cierre de @teleSURtv aquí les dejo lo que me respondió…
negativo;@FernandoEhlers1 @MashiRafael @Lenin @PROGRAMALATV @CNT_EC Ya sabemos por quien no se debe votar
negativo;@ClaroEcua ¡Siguen llamándonos!... #NoCompresClaro
negativo;@CNT_EC día 8 aún sin internet ni línea telef...HASTA CUANDO HPTAS????
negativo;@ClaroEcua el peor servicio del Ecuador
negativo;"RT @GustavoCardosoM: @marcoflorest ...""Ecuador no tiene una sola política de re-activación..."", ""...El pueblo ecuatoriano se manifestará ma…"
positivo;@CNT_EC Saludos cual sería el costo del nuevo plan y como haría para obtenerlo gracias
positivo;Sobre intención de entregar a concesión la administración de @CNT_EC, aquí la reflexión de nuestro Coordinador de Bancada, Asambleísta @PenafielEddy 👇Vía @teleramaec https://t.co/HyUUhy997u
positivo;@MovistarEC Ya lo resolví. Gracias!
negativo;Como ya se sabe quién es el que está tras este negociado, entonces, escucho ofertas de @ClaroEcua @GrupoTVCableEC @DIRECTVEcuador o @TvMundoEc https://t.co/300Ocyvt0E
positivo;"@CNT_EC realiza trabajos de fusión de fibra óptica en #Loja 
#SomosPrimerReporte
@primereporte https://t.co/OlZ2BjLyru"
positivo;Los números no mienten, el buen manejo que se ha dado a @Cnt_ec da frutos, siendo la empresa más rentable de telecomunicaciones entre @Claro y @Movistar #CNTorgulloParaEc https://t.co/ZkfDKN5pZp
negativo;@CNT_EC buenos días, por favor tengo mi servicio de Internet caído desde hace dos días, llamé para que vengan a repararlo y dijeron que venían entre hoy y el 2, pero mi familia no se puede quedar sin Internet, este es el número de visita técnica 39797199 que vengan hoy, por favor
negativo;La única manera de que me puedan ayudar resolviendo el problema que tengo es haciendo público mi reclamo... @ClaroEcua aún no me llaman ni me ayudan con el problema... https://t.co/ZpsT4z9sVq
negativo;@ecuainm @Lenin @SCC1705 @FinanzasEc @AsambleaEcuador @MashiRafael @CNT_EC Vayan a privatizar a la....................... ya saben
positivo;@ClaroEcua Interesante, ahora mismo reviso
negativo;@carolgrillito @CNT_EC @teleSURtv @RutaKritica @kolectiVOZ @LaKolmenaEC @JorgeGestoso @RicardoTelloC @PedroBriegerOk @rabascallcarlos @MashiRafael @verenahitner NO que  Correa  era el Dictador ?
positivo;@Alex_Anchundia5 @Pirlo_official @MALLDELSOL_EC @Alex_Anchundia5 los beneficios que da la #CNT insuperables nada aún con el fútbol en casa, excelente gestión Coop UNIDOS SOMOS MAS presente
negativo;@GabrielaEsPais @CNT_EC no solo que se llevan las ganancias liquidas, usan maquinas nuevas cuando devuelvan las maquinas estaran obsoletas-chatarra. subiran el costo por llamada y todos los ecuatorianos pagaran ese costo porq son los dueños durante20años, ellos vinieron para ganar no por el pueblo !ojo!
negativo;@AMTQuito @CNT_EC Es una pena, que estos problemas sean recurrentes en los últimos días de atención al público. Parecería que se debe a la gran afluencia de ciudadanos en cumplir con los trámites
negativo;@LEXKANDER @CNT_EC Bien hechito. Ojalá ahora si salgan a las calles los trabajadores de CNT. Lamentablemente vivimos en el mundo del YO YO mientras a mí no me perjudique allá ustedes. Que esperaban del cuántico traidor
negativo;@PublicaFM @CNT_EC @RonnyToapantaAl Pobre imbécil en 20 años te dejarán sólo basura, basta ya, arde troya no sabes lo que les pasará
negativo;@GabrielaEsPais @CNT_EC Valen verga estos presidente pero más el Correa y esta tipa
negativo;@ClaroEcua Tengo @GrupoTVCableEC fijo donde mi papá y @ClaroEcua en casa. Así que tengo ya 2 perfiles de internet fijo sobre los cuales puedo opinar... que empiecen los Juegos del Hambre...
positivo;El trabajo coordinado del MINTEL y las operadoras @CNTinforma, @MovistarEC @ClaroEcua, transparentan la información de manera clara y precisa, sobre el origen de una llamada  proveniente del Call Center, para que el usuario decida si contesta la llamada. #MintelCambiaVidas https://t.co/4uqa7VfBTg
negativo;La peor operadora que puede existir, se matan ofreciendo de todo para dar pésimo servicio de internet @CNT_EC malísimo el internet en todo el día.
negativo;"RT @eloyborjaperez1: QUE CONSECIONEN LAS CÁRCELES! 
QUE LAS VENDAN A JORGE GLASS.
 LADRONES TODOS INCLUIDO @Lenin
CLARO! POR ESO SE PUSIERO…"
negativo;Repito @ClaroEcua pago casi $40 mensuales por 20mb de velocidad  los cuales no se han cumplido pero esto es el colmo. Como cliente exijo un arreglo inmediato. https://t.co/LYR6bk88WN
negativo;@PaolaPabonC @MaraJtiva @CNT_EC @SCC1705 @EcuadorRC @DireccionRc @NoticiasRCN @LuisaMaldonadoM @BancadaRC_ @pabelml @dorissoliz @ForoComunes @InfoNodal @ActualidadRT Es eso legal?
negativo;@BaironValleP @MashiRafael @SCC1705 @CNT_EC @LuisCubillosGye @RicardoPatinoEC @MonicaBritoRC @AsambleaEcuador @EcuadorRC @LaboralAN @FrenteJovenesRC @FCEB_Ecuador @GuerrerosDig_RC @kolectiVOZ Asombroso de gente que nunca hizo nada. Lastima 10 gloriosos años de avance y referencia mundial para que estos tildados de honestos hoy se apropien de las cosas de forma fácil. Pero más triste la pasividad del pueblo que ignorante ya no es...
positivo;RT @ClaroEcua: #HoyEnElDeporte en 2007: @LDU_Oficial se enfrenta a @elnacionalec y obtiene su novena estrella. https://t.co/2tNkhCeuwB
negativo;RT @TntMonik: @Udrgye @secretariausm @CNT_EC señores tengo mi línea telefónica a sin tono 043092764 ya fue reportada y ustedes no la arregl…
negativo;RT @facosta1969: Sres. @ClaroEcua otra vez le llega, a mi suegra, un mensaje de un servicio que nunca solicitó. Esto es peor que los seguro…
positivo;El trabajo coordinado del MINTEL y las operadoras @CNTinforma, @MovistarEC @ClaroEcua, transparentan la información de manera clara y precisa, sobre el origen de una llamada  proveniente del Call Center, para que el usuario decida si contesta la llamada. #MintelCambiaVidas https://t.co/Cy8buIpP6q
positivo;@juanjoalvaradoh @CNT_EC Igual. Recibí un mensaje diciéndome que ya utilicé más del 95 % de mis megas. ¿Y ahora qué hago?
negativo;@ClaroEcua Mal dato que uno compre el A9 y no den ni pequeño obsequio
negativo;RT @QuitoPress: Gobierno ha decidido concesionar @Cnt__ec por 4 mil millones para los próximos 20 años , así ratificó asesor Santiago Cuest…
positivo;@TuentiEC nunca me decepcionen please
positivo;"RT @CarlosVictorM: Gracias @ClaroEcua por la nominación para @BichitoEC 
Honrado por la distinción. Votaciones en https://t.co/sFOa8hOlgP o…"
negativo;@tefanoquez @CNT_EC @MashiRafael @JorgeGlas @Lenin @ecuainm @el_telegrafo @CarlosVerareal @GabrielaEsPais @ComunicacionEc @CNTinforma @CNT_TeAyuda @marcelaguinaga @RicardoPatinoEC @SofiaEspinRC @ppsesa @ClaroEcua @MovistarEC No queremos que se privatice CNT, esa privatizacion es solo una farsa para robar mas #CNTNoSeVende
negativo;Señores de @ClaroEcua necesito soporte técnico y sus número de servicio al cliente no sirven, 2 días con problemas con el internet fijo que tengo contratado, favor responder para que puedan ayudarme. Saludos
negativo;El call center de @MovistarEC es de los peores, no te dá solución a ningún problema, hasta cuando deberíamos aguantar este tipo de servicios por parte de las operadoras d telefonía, media hora de propaganda al llamar y nada de soluciones.
negativo;@ClaroEcua por favor. Son una vergüenza para Carlos Slim https://t.co/hGvvOQuzGW
negativo;@ClaroEcua @ClaroEcua han pasado 4 días y aun no tengo solución de parte de ustedes, cuanta ineficiencia ... @Arcotel_ec @fracorzo
negativo;RT @Guayaco_SinParo: Oigan hijos de puta @CNT_EC ya llevo un mes sin servicio y no les da la reputa gana de dar solución y nadie se manifie…
negativo;@DIRECTVEcuador si tuvieran un poco de creatividad ..... El panel no fuera casi un 80% de la costa si quisieran vender algo diferente deberían poner una panel más equilibrado o más de la sierra así les barren a @CNT_EC y @goltvecu pero ofrecen el mismo producto https://t.co/2ngHLQTpiG
negativo;Nooooo @CNT_TeAyuda noooo, no cometas ese error.... Si @ClaroEcua es malo... Estos de @CNT_TeAyuda son peoressssss https://t.co/76OFzBuBrP
negativo;"@MashiRafael Desde que punto de vista empresarial es mejor recibir el Impuesto Generado que las Utilidades netas.
@CNT_EC
 no esta en quiebra no es necesario este tipo de acciones.
A menos que quieran
Preparar al pais de camino al #FMI
#SantiagoCuesta asegura su futuro por el resto de su vida https://t.co/Dk1cwtTUQk"
positivo;"RT @MovistarEC: 🚴🏽‍♂️@Telefonica continúa apoyando al #ciclismo hasta el 2021. 💪🏼 
@RichardCarapazM continúa junto al @Movistar_Team en el…"
negativo;@PaolaPabonC @Lenin @CNT_EC @CompromisoRC5 @FrankSamaniegoM @InfoNodal @EcuadorRC @elnoticierotc @ActualidadRT @pagina12 @pabelml @teleSUREcuador @FernandoCasadoG #Paolaes5 Solo los grandes grupos son favorecidos y el pueblo en el olvido, a resistir compañeros la RC persiste. #VotaTodo5 #NoPrivatización
negativo;"@FernandoEhlers1 @MashiRafael @Lenin @PROGRAMALATV @CNT_EC Vea mi pana
Vaya al yasuni
Y abraza al tronco mas grueso"
negativo;@Princess_So @ClaroEcua @NetlifeEcuador Yo no pude poner porque claro no tenía cobertura en la pradera...una vergüenza
positivo;Prueba @TuentiEC
negativo;.@XimenaPena1 (AP), revela que tras una reunión con @mariapaularomo el tema de la concesión de @CNT_EC no está definido. Pide un diálogo con la bancada para conocer las condiciones. @eluniversocom https://t.co/rpryy6JIK7
negativo;@vixita @CNT_EC Da igual si te cambias... @ClaroEcua o @MovistarEC también te darán un servicio de mierda nivel @CNT_EC 💆🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️
positivo;@floralfarom @ClaroEcua @BichitoEC Merecido hija hermosa🤗👏👏👏❤ @floralfarom
positivo;Ahí si se pasaron de chevere a @ClaroEcua 👌🏽😱 https://t.co/69U6rcLKLD
negativo;"@Lenin @lopezobrador_ También estamos de luto por todas las cagadas 💩 una tras de otra. Esto sumado a que ahora quiere vender las empresas como @CNT_EC e hidroeléctricas que benefician al país. Usted es un total incompetente y debe renunciar por el bien de este país. 
#LevantateEcuador #FueraLenin"
negativo;@leoruiz86 @CNT_EC @CNT_TeAyuda Pilas no instales mejor y te ahorrarás problemas... El peor servicio de entrada y de salida... Y te vas pagando multa...
positivo;RT @maranitasilva: Los números no mienten, el buen manejo que se ha dado a @Cnt_ec da frutos, siendo la empresa más rentable de telecomunic…
positivo;@CNT_TeAyuda @imarinesteves @CNT_EC @CNTinforma LO QUE PEDIMOS ES QUE VUELVAN A PONER A TELESUR EN LA PARRILA. LOS CLIENTES MERECEMOS RESPETO.
negativo;@CNT_EC sin servicio canales de atención no responden que pasa
negativo;@BaironValleP @SCC1705 @CNT_EC @LuisCubillosGye @RicardoPatinoEC @MonicaBritoRC @AsambleaEcuador @EcuadorRC @LaboralAN @FrenteJovenesRC @FCEB_Ecuador @GuerrerosDig_RC @kolectiVOZ Lo público es una mierda!! Pura corrupción..que tal.
negativo;@ClaroEcua Inoperancia total. Les haré toda la mala publicidad que pueda!!!
positivo;@ClaroEcua Te quedaste sin SALDO! Haz una recarga y mantente siempre comunicado. Este SMS se lo cobraremos a tu amigo CLARO.
negativo;No es solo contigo. @CNT_EC cuando he llamado a preguntar algo del plan: dejan en espera y cortan. https://t.co/clahemB6Hd
negativo;Señores @CNT_EC no tengo servicio celular desde 16:46pm que sucede? @Arcotel_ec https://t.co/YcJHkvkUKF
negativo;@ecuadorenvivo @mariapaularomo Porque el gobierno @Lenin no reduce el tamano del estado? Seguro Sucre, Tame, RTV, Correos del Ecuador, CNT y muchos mas https://t.co/Goa6RkTgDT
negativo;@faustoyepez @teleamazonasec @CNT_EC Lo que siempre hace este gobierno todo por atrás, de frente solo muestra su sonrisa hipócrita y su diálogo falso
positivo;@dayumaEc @MovistarEC Quisiera conocer tu necesidad. Qué quisieras en un plan para tu mami, y cuánto estarías dispuesta a pagar por él?
positivo;@ClaroEcua Yo quiero cambiarme avisenme si su señal cubre todo el Barrio del centenario porque la última vez que llamé me indicaron que todavía no cubría ciertos sectores
negativo;@CNT_EC Lo único malo de ustedes es que ponen antenas en lugares masivamente poblados para mejorar su señal y ni así lo logran. Dañan la salud y no mejoran su cobertura.
negativo;@daloes10 @ClaroEcua De lo ultimo cámbiate ya
negativo;"RT @enmita_27: @ClaroEcua Estimados, en la ciudad de Piñas/El Oro es pésimo el servicio de telecomunicación; no hay como realizar llamadas…"
negativo;RT @Tony_Coronel: De quién fue la idea de vender, entre otras, @CNT_EC y #Sopladora? #Prohibidoolvidar #DobleMoral https://t.co/Wh0bnoyO2F
negativo;@jarritodcerveza @PublicaFM @CNT_EC @RonnyToapantaAl Los que están jodiidos  se joderan más,  en que mundo vivímos,  que lastina  por los pobres de mi PATRIA, Una vez más  busquemos de DIOS , El nunca nos abandonará  EL es FIEL. Estamos en las manos del peor gobierno de la historia,  X que nos equívocamos tanto.
negativo;@Stevenluzu @ClaroEcua jajajajaa.... que cosas no.....!!!!
positivo;@RobertoCordova @GrupoTVCableEC @NetlifeEcuador @CNT_EC @ClaroEcua Todos tienen algo malo pero para nada CNT
negativo;RT @Reny_AC88: @eddescritor @CNT_EC @Lenin No lo creo, el burro cuántico 👉  @Lenin los tiene como semi dioses a la banca. Pero los dod pued…
negativo;"@FernandoEhlers1 @Cristhyn3000 @Lenin @PROGRAMALATV @CNT_EC Y ahora los chupa medias de la Revolución se permiten criticar lo que callaron por 12
años... CÍNICOS care tucos (mismas expresiones empleadas de su líder amado)"
positivo;@MovistarEC En ese caso continuaré a la siguiente instancia, gracias
negativo;"@FernandoEhlers1 @solbuendia @Lenin @PROGRAMALATV @CNT_EC Es broma,  lo dicho ha sido  obrado con sus actos.  Obras son amores y no ""buenas razones"""
negativo;Qué tengo que hacer señores de @ClaroEcua para que dejen de llamarme a ofrecer sus servicios de telefonía móvil? He perdido mi paciencia y cordialidad!!! Sáquenme de su lista! No me llamen más! 😡NO QUIERO SUS SERVICIOS! Se entiende? @TelecomunicaEc
negativo;@MovistarEC Jajaja esta propaganda me sale en viki @LoyolaAilyn
negativo;@MovistarEC en oficina Machala del @PaseoShoppingEc no atienden a clientes prepago por no Trabajar en esa oficina con sistema para estos clientes🤔. Cosa que es falso... pésima atención! @TelefonicaEC
negativo;@_ELREVERSO @CNT_EC @MashiRafael @JorgeGlas @pameaguirre1 Troll center de mierda
negativo;@CNT_TeAyuda @CNT_EC Y ya es un mes y tienen el descaro de decirme que ya estoy siendo atendida?
negativo;"@ClaroEcua @diegoteran93 Nadie los llamo ustedes también valen verga &gt;:v"
